episode,epsilon,winner,q_states
108.0,0.9948697434871744,1.0,672.0
109.0,0.9948222411120555,1.0,677.0
110.0,0.9947747387369368,2.0,681.0
111.0,0.994727236361818,1.0,691.0
112.0,0.9946797339866993,2.0,698.0
113.0,0.9946322316115805,2.0,704.0
114.0,0.9945847292364619,1.0,710.0
115.0,0.9945372268613432,2.0,713.0
116.0,0.9944897244862243,1.0,716.0
117.0,0.9944422221111056,1.0,726.0
118.0,0.9943947197359868,1.0,727.0
119.0,0.9943472173608681,1.0,736.0
120.0,0.9942997149857493,2.0,737.0
121.0,0.9942522126106306,1.0,743.0
122.0,0.9942047102355118,2.0,749.0
123.0,0.994157207860393,1.0,756.0
124.0,0.9941097054852742,1.0,759.0
125.0,0.9940622031101555,2.0,767.0
126.0,0.9940147007350367,2.0,776.0
127.0,0.993967198359918,1.0,777.0
128.0,0.9939196959847992,1.0,782.0
129.0,0.9938721936096805,1.0,785.0
130.0,0.9938246912345616,1.0,785.0
131.0,0.993777188859443,1.0,786.0
132.0,0.9937296864843242,2.0,790.0
133.0,0.9936821841092055,1.0,796.0
134.0,0.9936346817340868,2.0,805.0
135.0,0.993587179358968,2.0,813.0
136.0,0.9935396769838493,2.0,815.0
137.0,0.9934921746087304,2.0,822.0
138.0,0.9934446722336117,1.0,825.0
139.0,0.9933971698584929,1.0,831.0
140.0,0.9933496674833742,1.0,834.0
141.0,0.9933021651082554,1.0,840.0
142.0,0.9932546627331367,1.0,844.0
143.0,0.9932071603580179,1.0,845.0
144.0,0.9931596579828991,2.0,847.0
145.0,0.9931121556077803,1.0,851.0
146.0,0.9930646532326616,2.0,856.0
147.0,0.9930171508575428,2.0,867.0
148.0,0.9929696484824241,1.0,870.0
149.0,0.9929221461073054,2.0,876.0
150.0,0.9928746437321867,1.0,881.0
151.0,0.9928271413570678,1.0,884.0
152.0,0.9927796389819491,1.0,887.0
153.0,0.9927321366068304,2.0,892.0
154.0,0.9926846342317116,1.0,893.0
155.0,0.9926371318565929,1.0,899.0
156.0,0.9925896294814741,1.0,902.0
157.0,0.9925421271063554,1.0,906.0
158.0,0.9924946247312365,1.0,909.0
159.0,0.9924471223561178,1.0,914.0
160.0,0.992399619980999,2.0,918.0
161.0,0.9923521176058803,1.0,918.0
162.0,0.9923046152307615,2.0,923.0
163.0,0.9922571128556428,1.0,930.0
164.0,0.992209610480524,2.0,934.0
165.0,0.9921621081054052,1.0,940.0
166.0,0.9921146057302865,1.0,940.0
167.0,0.9920671033551678,1.0,950.0
168.0,0.992019600980049,1.0,956.0
169.0,0.9919720986049303,1.0,964.0
170.0,0.9919245962298116,2.0,968.0
171.0,0.9918770938546928,1.0,969.0
172.0,0.991829591479574,2.0,977.0
173.0,0.9917820891044552,1.0,978.0
174.0,0.9917345867293365,1.0,983.0
175.0,0.9916870843542177,1.0,984.0
176.0,0.991639581979099,2.0,986.0
177.0,0.9915920796039802,1.0,994.0
178.0,0.9915445772288615,2.0,996.0
179.0,0.9914970748537426,1.0,999.0
180.0,0.9914495724786239,1.0,1000.0
181.0,0.9914020701035051,2.0,1005.0
182.0,0.9913545677283864,2.0,1007.0
183.0,0.9913070653532676,1.0,1012.0
184.0,0.991259562978149,2.0,1018.0
185.0,0.9912120606030302,1.0,1018.0
186.0,0.9911645582279114,1.0,1026.0
187.0,0.9911170558527926,1.0,1042.0
188.0,0.9910695534776739,1.0,1052.0
189.0,0.9910220511025551,1.0,1057.0
190.0,0.9909745487274364,2.0,1062.0
191.0,0.9909270463523177,1.0,1073.0
192.0,0.9908795439771989,2.0,1079.0
193.0,0.99083204160208,2.0,1087.0
194.0,0.9907845392269613,1.0,1087.0
195.0,0.9907370368518426,2.0,1094.0
196.0,0.9906895344767238,1.0,1103.0
197.0,0.9906420321016051,1.0,1106.0
198.0,0.9905945297264863,2.0,1118.0
199.0,0.9905470273513676,1.0,1120.0
200.0,0.9904995249762487,1.0,1122.0
201.0,0.9904520226011301,1.0,1127.0
202.0,0.9904045202260113,1.0,1138.0
203.0,0.9903570178508926,1.0,1147.0
204.0,0.9903095154757738,1.0,1158.0
205.0,0.9902620131006551,2.0,1164.0
206.0,0.9902145107255363,1.0,1166.0
207.0,0.9901670083504175,2.0,1171.0
208.0,0.9901195059752987,1.0,1182.0
209.0,0.99007200360018,1.0,1184.0
210.0,0.9900245012250612,2.0,1187.0
211.0,0.9899769988499425,1.0,1192.0
212.0,0.9899294964748238,1.0,1197.0
213.0,0.989881994099705,1.0,1201.0
214.0,0.9898344917245862,2.0,1207.0
215.0,0.9897869893494674,1.0,1212.0
216.0,0.9897394869743487,2.0,1221.0
217.0,0.9896919845992299,1.0,1221.0
218.0,0.9896444822241112,1.0,1222.0
219.0,0.9895969798489925,2.0,1230.0
220.0,0.9895494774738738,2.0,1238.0
221.0,0.9895019750987549,2.0,1241.0
222.0,0.9894544727236362,1.0,1241.0
223.0,0.9894069703485174,1.0,1249.0
224.0,0.9893594679733987,2.0,1255.0
225.0,0.9893119655982799,1.0,1259.0
226.0,0.9892644632231612,1.0,1267.0
227.0,0.9892169608480424,1.0,1268.0
228.0,0.9891694584729236,2.0,1270.0
229.0,0.9891219560978048,1.0,1270.0
230.0,0.9890744537226861,2.0,1271.0
231.0,0.9890269513475674,1.0,1272.0
232.0,0.9889794489724486,2.0,1273.0
233.0,0.9889319465973299,1.0,1277.0
234.0,0.9888844442222111,1.0,1281.0
235.0,0.9888369418470923,1.0,1283.0
236.0,0.9887894394719736,2.0,1289.0
237.0,0.9887419370968549,1.0,1297.0
238.0,0.9886944347217361,1.0,1304.0
239.0,0.9886469323466174,1.0,1305.0
240.0,0.9885994299714986,2.0,1311.0
241.0,0.9885519275963799,1.0,1316.0
242.0,0.988504425221261,2.0,1323.0
243.0,0.9884569228461423,2.0,1333.0
244.0,0.9884094204710235,1.0,1334.0
245.0,0.9883619180959048,2.0,1341.0
246.0,0.988314415720786,1.0,1347.0
247.0,0.9882669133456673,2.0,1355.0
248.0,0.9882194109705486,2.0,1359.0
249.0,0.9881719085954297,1.0,1360.0
250.0,0.988124406220311,1.0,1371.0
251.0,0.9880769038451922,1.0,1381.0
252.0,0.9880294014700735,2.0,1381.0
253.0,0.9879818990949547,1.0,1384.0
254.0,0.9879343967198361,1.0,1388.0
255.0,0.9878868943447173,1.0,1390.0
256.0,0.9878393919695985,2.0,1391.0
257.0,0.9877918895944797,2.0,1398.0
258.0,0.987744387219361,1.0,1405.0
259.0,0.9876968848442422,2.0,1417.0
260.0,0.9876493824691235,1.0,1423.0
261.0,0.9876018800940047,1.0,1427.0
262.0,0.987554377718886,1.0,1430.0
263.0,0.9875068753437671,1.0,1432.0
264.0,0.9874593729686484,1.0,1439.0
265.0,0.9874118705935296,2.0,1442.0
266.0,0.9873643682184109,2.0,1450.0
267.0,0.9873168658432921,2.0,1456.0
268.0,0.9872693634681734,1.0,1456.0
269.0,0.9872218610930547,1.0,1461.0
270.0,0.9871743587179358,2.0,1470.0
271.0,0.9871268563428172,1.0,1475.0
272.0,0.9870793539676984,1.0,1479.0
273.0,0.9870318515925797,2.0,1487.0
274.0,0.9869843492174609,1.0,1493.0
275.0,0.9869368468423422,1.0,1496.0
276.0,0.9868893444672234,2.0,1509.0
277.0,0.9868418420921046,1.0,1513.0
278.0,0.9867943397169858,1.0,1520.0
279.0,0.9867468373418671,1.0,1529.0
280.0,0.9866993349667483,1.0,1532.0
281.0,0.9866518325916296,1.0,1538.0
282.0,0.9866043302165108,1.0,1541.0
283.0,0.9865568278413921,1.0,1550.0
284.0,0.9865093254662732,1.0,1552.0
285.0,0.9864618230911545,2.0,1560.0
286.0,0.9864143207160357,1.0,1565.0
287.0,0.986366818340917,1.0,1569.0
288.0,0.9863193159657982,1.0,1574.0
289.0,0.9862718135906796,1.0,1579.0
290.0,0.9862243112155609,1.0,1587.0
291.0,0.986176808840442,1.0,1587.0
292.0,0.9861293064653233,1.0,1593.0
293.0,0.9860818040902045,1.0,1604.0
294.0,0.9860343017150858,2.0,1607.0
295.0,0.985986799339967,2.0,1611.0
296.0,0.9859392969648483,1.0,1615.0
297.0,0.9858917945897295,1.0,1626.0
298.0,0.9858442922146107,1.0,1631.0
299.0,0.9857967898394919,1.0,1638.0
300.0,0.9857492874643732,2.0,1649.0
301.0,0.9857017850892544,1.0,1652.0
302.0,0.9856542827141357,1.0,1652.0
303.0,0.9856067803390169,2.0,1654.0
304.0,0.9855592779638982,2.0,1657.0
305.0,0.9855117755887793,2.0,1666.0
306.0,0.9854642732136607,1.0,1666.0
307.0,0.985416770838542,2.0,1672.0
308.0,0.9853692684634232,2.0,1672.0
309.0,0.9853217660883045,2.0,1682.0
310.0,0.9852742637131857,1.0,1688.0
311.0,0.985226761338067,1.0,1691.0
312.0,0.9851792589629481,1.0,1691.0
313.0,0.9851317565878294,1.0,1694.0
314.0,0.9850842542127106,2.0,1696.0
315.0,0.9850367518375919,1.0,1700.0
316.0,0.9849892494624731,2.0,1705.0
317.0,0.9849417470873544,2.0,1714.0
318.0,0.9848942447122356,1.0,1716.0
319.0,0.9848467423371169,1.0,1716.0
320.0,0.984799239961998,1.0,1723.0
321.0,0.9847517375868793,1.0,1733.0
322.0,0.9847042352117605,1.0,1739.0
323.0,0.9846567328366418,1.0,1749.0
324.0,0.9846092304615232,1.0,1751.0
325.0,0.9845617280864044,1.0,1754.0
326.0,0.9845142257112857,1.0,1759.0
327.0,0.9844667233361668,2.0,1761.0
328.0,0.9844192209610481,2.0,1770.0
329.0,0.9843717185859293,2.0,1775.0
330.0,0.9843242162108106,2.0,1776.0
331.0,0.9842767138356918,1.0,1776.0
332.0,0.9842292114605731,1.0,1776.0
333.0,0.9841817090854543,2.0,1782.0
334.0,0.9841342067103355,1.0,1782.0
335.0,0.9840867043352167,2.0,1784.0
336.0,0.984039201960098,1.0,1793.0
337.0,0.9839916995849792,1.0,1803.0
338.0,0.9839441972098605,1.0,1810.0
339.0,0.9838966948347417,1.0,1812.0
340.0,0.983849192459623,1.0,1815.0
341.0,0.9838016900845042,1.0,1818.0
342.0,0.9837541877093855,1.0,1828.0
343.0,0.9837066853342668,1.0,1837.0
344.0,0.983659182959148,1.0,1837.0
345.0,0.9836116805840293,1.0,1837.0
346.0,0.9835641782089105,1.0,1844.0
347.0,0.9835166758337918,2.0,1846.0
348.0,0.9834691734586729,2.0,1848.0
349.0,0.9834216710835542,1.0,1853.0
350.0,0.9833741687084354,1.0,1858.0
351.0,0.9833266663333167,2.0,1860.0
352.0,0.9832791639581979,1.0,1865.0
353.0,0.9832316615830792,2.0,1873.0
354.0,0.9831841592079604,1.0,1876.0
355.0,0.9831366568328416,2.0,1886.0
356.0,0.9830891544577228,1.0,1894.0
357.0,0.9830416520826041,2.0,1903.0
358.0,0.9829941497074853,1.0,1905.0
359.0,0.9829466473323667,2.0,1912.0
360.0,0.982899144957248,1.0,1924.0
361.0,0.9828516425821292,1.0,1924.0
362.0,0.9828041402070103,2.0,1926.0
363.0,0.9827566378318916,2.0,1931.0
364.0,0.9827091354567729,1.0,1940.0
365.0,0.9826616330816541,2.0,1949.0
366.0,0.9826141307065354,1.0,1961.0
367.0,0.9825666283314166,2.0,1965.0
368.0,0.9825191259562979,2.0,1968.0
369.0,0.982471623581179,1.0,1968.0
370.0,0.9824241212060603,1.0,1968.0
371.0,0.9823766188309415,1.0,1974.0
372.0,0.9823291164558228,2.0,1977.0
373.0,0.982281614080704,1.0,1983.0
374.0,0.9822341117055853,2.0,1990.0
375.0,0.9821866093304665,1.0,1994.0
376.0,0.9821391069553478,1.0,2005.0
377.0,0.982091604580229,2.0,2008.0
378.0,0.9820441022051103,2.0,2012.0
379.0,0.9819965998299915,2.0,2014.0
380.0,0.9819490974548728,2.0,2019.0
381.0,0.981901595079754,1.0,2031.0
382.0,0.9818540927046353,1.0,2033.0
383.0,0.9818065903295164,1.0,2041.0
384.0,0.9817590879543977,1.0,2043.0
385.0,0.981711585579279,1.0,2049.0
386.0,0.9816640832041602,1.0,2055.0
387.0,0.9816165808290415,1.0,2061.0
388.0,0.9815690784539227,1.0,2061.0
389.0,0.981521576078804,1.0,2066.0
390.0,0.9814740737036851,2.0,2067.0
391.0,0.9814265713285664,1.0,2075.0
392.0,0.9813790689534476,1.0,2078.0
393.0,0.9813315665783289,1.0,2086.0
394.0,0.9812840642032102,1.0,2094.0
395.0,0.9812365618280915,2.0,2097.0
396.0,0.9811890594529727,1.0,2104.0
397.0,0.9811415570778539,2.0,2105.0
398.0,0.9810940547027351,2.0,2113.0
399.0,0.9810465523276164,1.0,2115.0
400.0,0.9809990499524976,2.0,2123.0
401.0,0.9809515475773789,1.0,2127.0
402.0,0.9809040452022602,1.0,2138.0
403.0,0.9808565428271414,1.0,2150.0
404.0,0.9808090404520226,2.0,2152.0
405.0,0.9807615380769038,1.0,2152.0
406.0,0.9807140357017851,1.0,2157.0
407.0,0.9806665333266663,2.0,2163.0
408.0,0.9806190309515476,1.0,2173.0
409.0,0.9805715285764288,1.0,2179.0
410.0,0.9805240262013101,1.0,2189.0
411.0,0.9804765238261913,1.0,2189.0
412.0,0.9804290214510726,1.0,2195.0
413.0,0.9803815190759538,2.0,2198.0
414.0,0.9803340167008351,2.0,2202.0
415.0,0.9802865143257163,1.0,2214.0
416.0,0.9802390119505976,1.0,2217.0
417.0,0.9801915095754788,1.0,2218.0
418.0,0.98014400720036,1.0,2225.0
419.0,0.9800965048252412,1.0,2226.0
420.0,0.9800490024501225,1.0,2234.0
421.0,0.9800015000750038,1.0,2239.0
422.0,0.979953997699885,1.0,2239.0
423.0,0.9799064953247663,1.0,2244.0
424.0,0.9798589929496475,2.0,2250.0
425.0,0.9798114905745287,1.0,2256.0
426.0,0.9797639881994099,1.0,2259.0
427.0,0.9797164858242912,2.0,2267.0
428.0,0.9796689834491724,2.0,2269.0
429.0,0.9796214810740538,1.0,2272.0
430.0,0.979573978698935,1.0,2272.0
431.0,0.9795264763238163,2.0,2276.0
432.0,0.9794789739486974,2.0,2278.0
433.0,0.9794314715735787,2.0,2281.0
434.0,0.9793839691984599,1.0,2281.0
435.0,0.9793364668233412,1.0,2282.0
436.0,0.9792889644482224,1.0,2290.0
437.0,0.9792414620731037,1.0,2290.0
438.0,0.979193959697985,2.0,2302.0
439.0,0.9791464573228661,1.0,2308.0
440.0,0.9790989549477473,1.0,2316.0
441.0,0.9790514525726286,1.0,2317.0
442.0,0.9790039501975099,2.0,2322.0
443.0,0.9789564478223911,2.0,2331.0
444.0,0.9789089454472724,1.0,2331.0
445.0,0.9788614430721536,2.0,2340.0
446.0,0.9788139406970349,1.0,2347.0
447.0,0.9787664383219161,2.0,2351.0
448.0,0.9787189359467974,2.0,2356.0
449.0,0.9786714335716786,2.0,2364.0
450.0,0.9786239311965599,2.0,2373.0
451.0,0.9785764288214411,2.0,2379.0
452.0,0.9785289264463224,1.0,2379.0
453.0,0.9784814240712035,1.0,2382.0
454.0,0.9784339216960848,1.0,2388.0
455.0,0.978386419320966,2.0,2391.0
456.0,0.9783389169458473,2.0,2394.0
457.0,0.9782914145707285,1.0,2399.0
458.0,0.9782439121956098,2.0,2404.0
459.0,0.978196409820491,1.0,2410.0
460.0,0.9781489074453722,2.0,2419.0
461.0,0.9781014050702534,2.0,2423.0
462.0,0.9780539026951347,1.0,2436.0
463.0,0.978006400320016,1.0,2441.0
464.0,0.9779588979448973,1.0,2442.0
465.0,0.9779113955697786,1.0,2448.0
466.0,0.9778638931946598,2.0,2458.0
467.0,0.977816390819541,1.0,2461.0
468.0,0.9777688884444222,2.0,2468.0
469.0,0.9777213860693035,2.0,2472.0
470.0,0.9776738836941847,1.0,2477.0
471.0,0.977626381319066,1.0,2482.0
472.0,0.9775788789439472,1.0,2487.0
473.0,0.9775313765688285,2.0,2489.0
474.0,0.9774838741937096,2.0,2493.0
475.0,0.9774363718185909,1.0,2502.0
476.0,0.9773888694434721,2.0,2507.0
477.0,0.9773413670683534,2.0,2511.0
478.0,0.9772938646932346,1.0,2515.0
479.0,0.9772463623181159,1.0,2521.0
480.0,0.9771988599429972,2.0,2530.0
481.0,0.9771513575678784,1.0,2537.0
482.0,0.9771038551927597,1.0,2537.0
483.0,0.9770563528176409,1.0,2544.0
484.0,0.9770088504425222,1.0,2555.0
485.0,0.9769613480674034,2.0,2560.0
486.0,0.9769138456922847,1.0,2564.0
487.0,0.9768663433171659,1.0,2569.0
488.0,0.9768188409420471,1.0,2578.0
489.0,0.9767713385669283,1.0,2579.0
490.0,0.9767238361918096,1.0,2583.0
491.0,0.9766763338166908,2.0,2588.0
492.0,0.9766288314415721,1.0,2590.0
493.0,0.9765813290664533,1.0,2594.0
494.0,0.9765338266913346,2.0,2597.0
495.0,0.9764863243162157,2.0,2600.0
496.0,0.976438821941097,1.0,2603.0
497.0,0.9763913195659782,2.0,2613.0
498.0,0.9763438171908595,2.0,2622.0
499.0,0.9762963148157409,2.0,2624.0
500.0,0.9762488124406221,1.0,2626.0
501.0,0.9762013100655034,2.0,2635.0
502.0,0.9761538076903845,1.0,2639.0
503.0,0.9761063053152658,1.0,2640.0
504.0,0.976058802940147,2.0,2643.0
505.0,0.9760113005650283,2.0,2646.0
506.0,0.9759637981899095,1.0,2649.0
507.0,0.9759162958147908,1.0,2651.0
508.0,0.975868793439672,2.0,2653.0
509.0,0.9758212910645532,2.0,2658.0
510.0,0.9757737886894344,1.0,2658.0
511.0,0.9757262863143157,2.0,2662.0
512.0,0.9756787839391969,1.0,2663.0
513.0,0.9756312815640782,1.0,2668.0
514.0,0.9755837791889594,1.0,2675.0
515.0,0.9755362768138407,1.0,2677.0
516.0,0.975488774438722,1.0,2687.0
517.0,0.9754412720636032,1.0,2687.0
518.0,0.9753937696884845,2.0,2700.0
519.0,0.9753462673133657,2.0,2712.0
520.0,0.975298764938247,2.0,2721.0
521.0,0.9752512625631282,2.0,2732.0
522.0,0.9752037601880095,1.0,2738.0
523.0,0.9751562578128906,1.0,2742.0
524.0,0.9751087554377719,1.0,2744.0
525.0,0.9750612530626531,1.0,2744.0
526.0,0.9750137506875344,1.0,2748.0
527.0,0.9749662483124156,1.0,2750.0
528.0,0.9749187459372969,1.0,2757.0
529.0,0.9748712435621781,1.0,2770.0
530.0,0.9748237411870593,2.0,2777.0
531.0,0.9747762388119405,2.0,2780.0
532.0,0.9747287364368218,2.0,2788.0
533.0,0.974681234061703,1.0,2790.0
534.0,0.9746337316865844,1.0,2797.0
535.0,0.9745862293114657,1.0,2803.0
536.0,0.9745387269363469,1.0,2803.0
537.0,0.974491224561228,1.0,2805.0
538.0,0.9744437221861093,1.0,2805.0
539.0,0.9743962198109906,1.0,2807.0
540.0,0.9743487174358718,1.0,2807.0
541.0,0.9743012150607531,2.0,2814.0
542.0,0.9742537126856343,1.0,2816.0
543.0,0.9742062103105156,1.0,2818.0
544.0,0.9741587079353967,1.0,2821.0
545.0,0.974111205560278,2.0,2823.0
546.0,0.9740637031851592,2.0,2826.0
547.0,0.9740162008100405,1.0,2836.0
548.0,0.9739686984349217,1.0,2840.0
549.0,0.973921196059803,1.0,2841.0
550.0,0.9738736936846842,2.0,2850.0
551.0,0.9738261913095655,1.0,2852.0
552.0,0.9737786889344467,2.0,2859.0
553.0,0.973731186559328,2.0,2867.0
554.0,0.9736836841842093,2.0,2874.0
555.0,0.9736361818090905,1.0,2878.0
556.0,0.9735886794339718,2.0,2883.0
557.0,0.973541177058853,1.0,2886.0
558.0,0.9734936746837342,2.0,2890.0
559.0,0.9734461723086154,1.0,2899.0
560.0,0.9733986699334967,1.0,2910.0
561.0,0.9733511675583779,1.0,2919.0
562.0,0.9733036651832592,1.0,2931.0
563.0,0.9732561628081404,2.0,2931.0
564.0,0.9732086604330217,1.0,2935.0
565.0,0.9731611580579028,1.0,2936.0
566.0,0.9731136556827841,1.0,2936.0
567.0,0.9730661533076653,2.0,2941.0
568.0,0.9730186509325466,1.0,2945.0
569.0,0.972971148557428,2.0,2947.0
570.0,0.9729236461823092,1.0,2953.0
571.0,0.9728761438071905,2.0,2955.0
572.0,0.9728286414320716,1.0,2956.0
573.0,0.9727811390569528,1.0,2960.0
574.0,0.9727336366818341,1.0,2962.0
575.0,0.9726861343067154,1.0,2962.0
576.0,0.9726386319315966,2.0,2975.0
577.0,0.9725911295564779,2.0,2977.0
578.0,0.9725436271813591,2.0,2982.0
579.0,0.9724961248062403,2.0,2991.0
580.0,0.9724486224311215,2.0,3001.0
581.0,0.9724011200560028,1.0,3006.0
582.0,0.972353617680884,1.0,3013.0
583.0,0.9723061153057653,1.0,3015.0
584.0,0.9722586129306465,1.0,3015.0
585.0,0.9722111105555278,2.0,3018.0
586.0,0.972163608180409,1.0,3024.0
587.0,0.9721161058052903,1.0,3024.0
588.0,0.9720686034301715,1.0,3031.0
589.0,0.9720211010550528,1.0,3037.0
590.0,0.971973598679934,1.0,3039.0
591.0,0.9719260963048153,2.0,3041.0
592.0,0.9718785939296966,2.0,3055.0
593.0,0.9718310915545777,2.0,3062.0
594.0,0.971783589179459,1.0,3066.0
595.0,0.9717360868043402,2.0,3068.0
596.0,0.9716885844292215,1.0,3071.0
597.0,0.9716410820541027,1.0,3075.0
598.0,0.971593579678984,2.0,3078.0
599.0,0.9715460773038652,1.0,3081.0
600.0,0.9714985749287464,1.0,3084.0
601.0,0.9714510725536276,1.0,3089.0
602.0,0.9714035701785089,1.0,3092.0
603.0,0.9713560678033901,1.0,3095.0
604.0,0.9713085654282715,2.0,3100.0
605.0,0.9712610630531527,1.0,3107.0
606.0,0.971213560678034,1.0,3116.0
607.0,0.9711660583029151,2.0,3130.0
608.0,0.9711185559277964,2.0,3132.0
609.0,0.9710710535526776,1.0,3135.0
610.0,0.9710235511775589,1.0,3138.0
611.0,0.9709760488024402,2.0,3138.0
612.0,0.9709285464273214,1.0,3141.0
613.0,0.9708810440522027,1.0,3150.0
614.0,0.9708335416770838,1.0,3151.0
615.0,0.970786039301965,2.0,3157.0
616.0,0.9707385369268463,1.0,3160.0
617.0,0.9706910345517276,1.0,3162.0
618.0,0.9706435321766088,1.0,3164.0
619.0,0.9705960298014901,1.0,3164.0
620.0,0.9705485274263713,2.0,3170.0
621.0,0.9705010250512526,2.0,3170.0
622.0,0.9704535226761338,1.0,3179.0
623.0,0.9704060203010151,2.0,3185.0
624.0,0.9703585179258963,1.0,3189.0
625.0,0.9703110155507776,1.0,3193.0
626.0,0.9702635131756588,2.0,3197.0
627.0,0.9702160108005401,2.0,3203.0
628.0,0.9701685084254212,1.0,3204.0
629.0,0.9701210060503025,2.0,3211.0
630.0,0.9700735036751837,1.0,3218.0
631.0,0.970026001300065,1.0,3218.0
632.0,0.9699784989249463,1.0,3219.0
633.0,0.9699309965498275,1.0,3223.0
634.0,0.9698834941747088,1.0,3224.0
635.0,0.9698359917995899,1.0,3232.0
636.0,0.9697884894244712,1.0,3238.0
637.0,0.9697409870493524,2.0,3243.0
638.0,0.9696934846742337,2.0,3253.0
639.0,0.969645982299115,1.0,3254.0
640.0,0.9695984799239963,1.0,3258.0
641.0,0.9695509775488775,2.0,3266.0
642.0,0.9695034751737587,2.0,3278.0
643.0,0.9694559727986399,1.0,3282.0
644.0,0.9694084704235212,2.0,3290.0
645.0,0.9693609680484024,1.0,3302.0
